
Running tests...
----------------------------------------------------------------------
  test_07_when_no_answer_forward_to_vm (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.814s)
  test_08_date_range (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.263s)
  test_09_day_of_week (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.982s)
  test_10_time_of_day (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.025s)
  test_11_time_of_day_two_periods (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.706s)
  test_12_time_of_day_three_periods (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.951s)
  test_13_find_me_all_my_phones_try_7sec_immediately_one_period (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.114s)
  test_14_find_me_predefined_mobile_phone_try_7sec_immediately_one_period (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.172s)
  test_15_find_me_predefined_home_phone_try_15sec_immediately_one_period (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.319s)
  test_16_find_me_set_multiple_phone_id (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (56.999s)
  test_17_find_me_two_periods (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.949s)
  test_18_find_me_three_periods (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.411s)
  test_19_find_me_four_periods (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.696s)
  test_20_find_me_five_periods_verify_add_button_is_disabled (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.874s)
  test_21_find_me_all_my_phones_try_15sec_immediately (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.541s)
  test_22_find_me_all_my_phones_try_20sec_ask_before (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (59.579s)
  test_23_find_me_all_my_phones_try_30sec_ask_before (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.938s)
  test_24_find_me_all_my_phones_try_custom_time_immediately (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.388s)
  test_25_find_me_all_my_phones_time_limit_ask_before (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.738s)
  test_26_find_me_all_my_phones_try_time_out_of_limit (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... skip (0.001s)
  test_27_find_me_all_my_phone_if_unsuccessful_forward_to_ext (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.193s)
  test_28_find_me_all_my_phone_nr_reject (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.649s)
  test_29_find_me_by_phone_nr_if_unsuccessful_forward_to_vm (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.651s)
  test_30_find_me_by_phone_nr_if_unsuccessful_forward_to_ext (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... skip (0.002s)
  test_31_find_me_by_phone_nr_if_unsuccessful_reject (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.548s)
  test_32_find_me_predefined_bound_phone_vm (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.837s)
  test_33_find_me_predefined_phone_home_phone_ext (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.153s)
  test_34_find_me_predefined_phone_mobile_phone_vm (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (57.960s)
  test_35_find_me_predefined_phone_all_assigned_vm (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.186s)
  test_36_find_me_predefined_phone_all_assigned_reject (tests.cmd_py_wbz_ch_rules.CallHandlingRules) ... ERROR (58.022s)
  test_01_contact_in_buddies (tests.cmd_py_wbz_buddies.BuddiesPage) ... ok (47.844s)
  test_02_create_and_delete_buddy_group (tests.cmd_py_wbz_buddies.BuddiesPage) ... ok (29.979s)
  test_03_rename_buddy_group (tests.cmd_py_wbz_buddies.BuddiesPage) ... ERROR (35.991s)
  test_04_delete_buddy (tests.cmd_py_wbz_buddies.BuddiesPage) ... ok (45.510s)
  test_05_add_buddy (tests.cmd_py_wbz_buddies.BuddiesPage) ... ok (55.064s)
  test_06_move_buddy (tests.cmd_py_wbz_buddies.BuddiesPage) ... ok (55.424s)
  test_07_call_to_buddy (tests.cmd_py_wbz_buddies.BuddiesPage) ... ok (59.076s)
  test_08_open_chat_with_buddy (tests.cmd_py_wbz_buddies.BuddiesPage) ... ok (41.274s)
  test_09_chat_group_in_buddies (tests.cmd_py_wbz_buddies.BuddiesPage) ... ERROR (41.774s)
  test_10_chat_group_add_buddy (tests.cmd_py_wbz_buddies.BuddiesPage) ... ERROR (45.230s)
  test_11_chat_group_move (tests.cmd_py_wbz_buddies.BuddiesPage) ... ERROR (49.305s)
  test_12_search (tests.cmd_py_wbz_buddies.BuddiesPage) ... ok (54.928s)
  test_01_create_recorded_name (tests.cmd_py_wbz_voicemail.Greetings) ... ERROR (28.849s)
  test_02_create_greeting (tests.cmd_py_wbz_voicemail.Greetings) ... ERROR (26.665s)
  test_03_create_auto_attendant_greeting (tests.cmd_py_wbz_voicemail.Greetings) ... ok (37.229s)
  test_04_delete_name_greeting (tests.cmd_py_wbz_voicemail.Greetings) ... ERROR (44.644s)
  test_05_delete_greeting (tests.cmd_py_wbz_voicemail.Greetings) ... ok (43.693s)
  test_06_delete_auto_attendant_greeting (tests.cmd_py_wbz_voicemail.Greetings) ... ok (37.431s)
  test_07_change_name_greeting (tests.cmd_py_wbz_voicemail.Greetings) ... ok (42.172s)
  test_08_play_pause_rapid (tests.cmd_py_wbz_voicemail.Greetings) ... ok (52.370s)
  test_09_apply_button (tests.cmd_py_wbz_voicemail.Greetings) ... ok (39.379s)
  test_10_cancel_button (tests.cmd_py_wbz_voicemail.Greetings) ... ok (37.541s)
  test_01_enter_not_correct_old_password (tests.cmd_py_wbz_settings.Settings) ... ERROR (50.140s)
  test_02_change_password_requirements (tests.cmd_py_wbz_settings.Settings) ... ok (45.734s)
  test_03_change_password_not_match (tests.cmd_py_wbz_settings.Settings) ... ok (36.719s)
  test_01_check_delivered_status (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (52.700s)
  test_02_check_seen_status (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (49.130s)
  test_03_check_mixed_statuses (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (78.611s)
  test_04_check_delivered_status_for_few_messages (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (90.744s)
  test_05_check_seen_status_for_few_messages (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (117.079s)
  test_06_send_message_to_offline_user (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (47.832s)
  test_07_check_delivered_status_after_login (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (54.979s)
  test_08_check_seen_status_after_login (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (55.140s)
  test_09_check_mixed_statuses_after_login (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (105.548s)
  test_10_check_delivered_status_for_few_messages_after_login (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (98.068s)
  test_11_check_seen_status_for_few_messages_after_login (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (100.869s)
  test_12_check_mixed_statuses_for_each_user (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (145.536s)
  test_13_check_read_status (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ERROR (75.828s)
  test_14_edit_message_clear_all_characters (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (61.833s)
  test_15_typing (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ERROR (72.675s)
  test_16_close_edit_message (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ERROR (78.535s)
  test_17_display_message_recent (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ERROR (68.567s)
  test_18_messages_lose_statuses (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ERROR (60.924s)
  test_19_wbz_1126 (tests.cmd_py_wbz_messages.ContactsInstantMessages) ... ok (44.146s)
  test_01_park_call_by_caller (tests.cmd_py_wbz_park.Park) ... ok (67.922s)
  test_02_park_call_by_recipient (tests.cmd_py_wbz_park.Park) ... ok (62.810s)
  test_03_no_add_call_on_park (tests.cmd_py_wbz_park.Park) ... ok (59.128s)
  test_04_return_from_park_by_parker (tests.cmd_py_wbz_park.Park) ... ok (66.620s)
  test_05_return_from_park_by_dialing_number (tests.cmd_py_wbz_park.Park) ... ok (68.189s)
  test_06_end_call_on_park (tests.cmd_py_wbz_park.Park) ... ok (63.787s)
  test_07_check_tab_after_park (tests.cmd_py_wbz_park.Park) ... ok (63.339s)
  test_01_join_chat (tests.cmd_py_wbz_extweb.ExtWebContacts) ... ERROR (35.428s)
  test_02_check_presence (tests.cmd_py_wbz_extweb.ExtWebContacts) ... ERROR (37.763s)
  test_03_check_rename (tests.cmd_py_wbz_extweb.ExtWebContacts) ... skip (0.001s)
  test_04_send_message (tests.cmd_py_wbz_extweb.ExtWebContacts) ... ERROR (37.803s)
  test_05_check_delivered_status (tests.cmd_py_wbz_extweb.ExtWebContacts) ... ERROR (35.636s)
  test_06_check_mixed_statuses (tests.cmd_py_wbz_extweb.ExtWebContacts) ... ERROR (35.554s)
  test_07_check_typing (tests.cmd_py_wbz_extweb.ExtWebContacts) ... ERROR (36.362s)
  test_08_send_link (tests.cmd_py_wbz_extweb.ExtWebContacts) ... ERROR (35.521s)
  test_09_typing_message_notification (tests.cmd_py_wbz_extweb.ExtWebContacts) ... ERROR (37.770s)
  test_01_join_chat (tests.cmd_py_wbz_extweb.ExtWebGroup) ... ERROR (37.191s)
  test_02_check_presence (tests.cmd_py_wbz_extweb.ExtWebGroup) ... ERROR (38.593s)
  test_03_check_rename (tests.cmd_py_wbz_extweb.ExtWebGroup) ... ERROR (40.123s)
  test_04_add_delete_member (tests.cmd_py_wbz_extweb.ExtWebGroup) ... ERROR (38.410s)
  test_05_delete_group (tests.cmd_py_wbz_extweb.ExtWebGroup) ... ERROR (38.551s)
  test_06_send_message (tests.cmd_py_wbz_extweb.ExtWebGroup) ... ERROR (39.623s)
  test_07_check_mixed_statuses (tests.cmd_py_wbz_extweb.ExtWebGroup) ... ERROR (39.715s)
  test_08_check_typing (tests.cmd_py_wbz_extweb.ExtWebGroup) ... ERROR (38.923s)
  test_01_close_message_field (tests.cmd_py_wbz_extweb.ExtWebClose) ... ERROR (37.675s)
  test_01_join_chat_password (tests.cmd_py_wbz_extweb.ExtWebPassword) ... ERROR (37.659s)
  test_02_join_chat_invalid_password (tests.cmd_py_wbz_extweb.ExtWebPassword) ... ERROR (39.916s)
  test_03_password_hidden (tests.cmd_py_wbz_extweb.ExtWebPassword) ... ERROR (39.699s)
  test_01_join_group_password (tests.cmd_py_wbz_extweb.ExtWebGroupPassword) ... ERROR (37.206s)
  test_02_join_group_invalid_password (tests.cmd_py_wbz_extweb.ExtWebGroupPassword) ... ERROR (39.050s)
  test_01_change_presence (tests.cmd_py_wbz_agent_roles.AgentRoles) ... ERROR (57.410s)
  test_02_check_agent_presence_while_user_call (tests.cmd_py_wbz_agent_roles.AgentRoles) ... ERROR (81.026s)
  test_03_check_agent_presence_while_agent_call (tests.cmd_py_wbz_agent_roles.AgentRoles) ... ERROR (86.441s)
  test_04_check_user_presence_while_agent_call (tests.cmd_py_wbz_agent_roles.AgentRoles) ... ok (88.682s)
  test_05_check_wrap_up (tests.cmd_py_wbz_agent_roles.AgentRoles) ... ERROR (97.879s)
  test_06_logout_from_call_group (tests.cmd_py_wbz_agent_roles.AgentRoles) ... ERROR (54.995s)
  test_08_wbz_2486 (tests.cmd_py_wbz_agent_roles.AgentRoles) ... FAIL (116.463s)
  test_01_initiate_call (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ok (88.323s)
  test_02_cancel_call (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ok (68.462s)
  test_03_answer_call (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ok (78.706s)
  test_04_decline_call (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ERROR (83.955s)
  test_05_end_call (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ok (89.896s)
  test_06_mute (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ERROR (80.613s)
  test_07_create_conference (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ERROR (68.488s)
  test_08_user_park_agent (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ok (62.096s)
  test_09_agent_park_choose_role_1 (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ok (63.789s)
  test_10_agent_park_choose_role_2 (tests.cmd_py_wbz_agent_calls.UserToAgentCalls) ... ok (62.561s)
  test_01_initiate_call (tests.cmd_py_wbz_agent_calls.AddUserCallByUser) ... skip (0.003s)
  test_02_cancel_call (tests.cmd_py_wbz_agent_calls.AddUserCallByUser) ... skip (0.002s)
  test_03_answer_call (tests.cmd_py_wbz_agent_calls.AddUserCallByUser) ... skip (0.004s)
  test_04_decline_call (tests.cmd_py_wbz_agent_calls.AddUserCallByUser) ... skip (0.002s)
  test_05_end_call (tests.cmd_py_wbz_agent_calls.AddUserCallByUser) ... skip (0.003s)
  test_06_mute (tests.cmd_py_wbz_agent_calls.AddUserCallByUser) ... skip (0.002s)
  test_01_initiate_call (tests.cmd_py_wbz_agent_calls.AddAgentCallByUser) ... skip (0.003s)
  test_02_cancel_call (tests.cmd_py_wbz_agent_calls.AddAgentCallByUser) ... skip (0.003s)
  test_03_answer_call (tests.cmd_py_wbz_agent_calls.AddAgentCallByUser) ... skip (0.005s)
  test_04_decline_call (tests.cmd_py_wbz_agent_calls.AddAgentCallByUser) ... skip (0.002s)
  test_05_end_call (tests.cmd_py_wbz_agent_calls.AddAgentCallByUser) ... skip (0.003s)
  test_06_mute (tests.cmd_py_wbz_agent_calls.AddAgentCallByUser) ... skip (0.002s)
  test_01_initiate_call (tests.cmd_py_wbz_agent_calls.AddUserCallByAgent) ... skip (0.002s)
  test_02_cancel_call (tests.cmd_py_wbz_agent_calls.AddUserCallByAgent) ... skip (0.001s)
  test_03_answer_call (tests.cmd_py_wbz_agent_calls.AddUserCallByAgent) ... skip (0.003s)
  test_04_decline_call (tests.cmd_py_wbz_agent_calls.AddUserCallByAgent) ... skip (0.002s)
  test_05_end_call (tests.cmd_py_wbz_agent_calls.AddUserCallByAgent) ... skip (0.003s)
  test_06_mute (tests.cmd_py_wbz_agent_calls.AddUserCallByAgent) ... skip (0.004s)
  test_01_create (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... ok (137.620s)
  test_02_delete (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... ok (112.645s)
  test_03_accept_reject (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... ERROR (108.597s)
  test_04_change_owner (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... ok (121.240s)
  test_05_invite_contact (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... ERROR (47.689s)
  test_06_delete_participants (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... ERROR (50.079s)
  test_07_get_conference_by_filter (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... FAIL (18.555s)
  test_08_send_message (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... FAIL (4.178s)
  test_09_check_message_statuses (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... FAIL (4.153s)
  test_10_check_presences (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... FAIL (4.185s)
  test_11_unable_start (tests.cmd_py_wbz_conference_scheduled.ScheduledConference) ... FAIL (4.162s)
